Wall time,Step,Value
1650457695.7416053,24496000,64.0
1650457697.1888142,24502016,28.0
1650457698.0137901,24505856,233.0
1650457698.4546638,24507840,42.0
1650457698.5106707,24508096,157.0
1650457698.64056,24508608,73.0
1650457698.9294884,24509888,32.0
1650457702.1244404,24510848,12.0
1650457702.2583485,24511424,88.0
1650457702.3622139,24511936,19.0
1650457703.237347,24515904,92.0
1650457703.368705,24516672,49.0
1650457705.1166406,24524096,46.0
1650457705.1644583,24524352,30.0
1650457705.186368,24524416,76.0
1650457705.2249453,24524672,125.0
1650457705.7365057,24526848,14.0
1650457709.0212054,24527872,79.0
1650457709.1611133,24528448,37.0
1650457709.6441772,24530368,22.0
1650457709.712754,24530688,50.0
1650457710.4725935,24534016,61.0
1650457710.5461552,24534336,58.0
1650457710.718356,24534976,10.0
1650457710.842308,24535552,58.0
1650457711.2602885,24537216,57.0
1650457711.318013,24537408,34.0
1650457711.3615499,24537728,35.0
1650457711.389746,24537856,14.0
1650457711.4415464,24537984,26.0
1650457711.4791663,24538112,56.0
1650457712.0746815,24540544,26.0
1650457712.14096,24540800,12.0
1650457712.168782,24540928,33.0
1650457712.3641913,24541632,38.0
1650457712.378489,24541696,37.0
1650457715.8098497,24543872,42.0
1650457716.312958,24546176,59.0
1650457716.51177,24547136,71.0
1650457716.525989,24547200,26.0
1650457717.3716724,24550528,26.0
1650457717.3863466,24550592,244.0
1650457717.4597464,24550848,38.0
1650457717.5035295,24551040,72.0
1650457718.2061708,24554176,27.0
1650457718.6841333,24556160,26.0
1650457718.6986434,24556224,65.0
1650457718.7132068,24556288,62.0
1650457718.7477841,24556480,21.0
1650457718.7878327,24556736,35.0
1650457718.8244767,24556864,45.0
1650457719.0567436,24557760,69.0
1650457724.2528334,24566592,41.0
1650457724.26801,24566656,43.0
1650457726.3482776,24575808,55.0
1650457729.8699253,24578368,7.0
1650457729.912444,24578496,38.0
1650457730.4855342,24580928,140.0
1650457730.5791957,24581312,74.0
1650457730.6482978,24581696,57.0
1650457731.894583,24587200,38.0
1650457732.097463,24588352,45.0
1650457732.2265754,24588864,56.0
1650457736.0081687,24592896,46.0
1650457736.1662219,24593472,51.0
1650457736.180431,24593536,54.0
1650457736.2400568,24593856,24.0
1650457736.4815946,24595072,40.0
1650457736.6254015,24595584,13.0
1650457736.6766617,24595776,186.0
1650457737.127663,24597888,118.0
1650457737.2619104,24598464,7.0
1650457737.3141813,24598592,399.0
1650457737.811742,24600832,23.0
1650457738.384907,24603328,160.0
1650457738.3993824,24603392,93.0
1650457739.0252583,24605824,73.0
1650457739.0591958,24606016,29.0
1650457739.1411722,24606400,39.0
1650457739.2915206,24607168,56.0
1650457739.3562799,24607424,53.0
1650457739.5494325,24608128,28.0
1650457739.5701423,24608256,223.0
1650457739.5990102,24608384,37.0
1650457742.803945,24609472,123.0
1650457742.9969983,24610368,27.0
1650457743.30066,24611584,29.0
1650457743.3668063,24611968,56.0
1650457743.4138722,24612224,13.0
1650457743.4547026,24612416,55.0
1650457743.5758185,24612864,41.0
1650457743.63926,24613120,42.0
1650457743.6534004,24613184,71.0
1650457745.6799018,24621376,21.0
1650457745.6945581,24621440,23.0
1650457745.7283502,24621632,42.0
1650457745.7427351,24621696,164.0
1650457746.010856,24623040,27.0
1650457746.0404606,24623168,67.0
1650457746.1222222,24623488,39.0
1650457749.4533622,24625280,66.0
1650457749.8027687,24626816,24.0
1650457750.1856515,24628416,48.0
1650457751.9806664,24636352,4.0
1650457751.995049,24636416,79.0
1650457752.732704,24639680,112.0
1650457752.7665665,24639872,118.0
1650457752.7950375,24640000,54.0
1650457752.9899344,24641024,26.0
1650457756.3289835,24642560,63.0
1650457756.4004862,24642816,178.0
1650457757.482624,24647872,15.0
1650457757.7210674,24648896,12.0
1650457757.7494576,24649024,118.0
1650457757.8114724,24649344,37.0
1650457757.8529804,24649536,20.0
1650457757.8671067,24649600,63.0
1650457757.9954948,24650240,196.0
1650457758.0463395,24650432,85.0
1650457758.2646902,24651200,36.0
1650457758.4534009,24652224,67.0
1650457758.4806406,24652352,16.0
1650457758.956308,24654272,59.0
1650457758.9783661,24654336,17.0
1650457759.1787665,24655296,16.0
1650457762.8523602,24658752,311.0
1650457764.5958314,24666240,39.0
1650457764.6290271,24666432,136.0
1650457764.6512334,24666496,14.0
1650457764.7224004,24666816,18.0
1650457764.914552,24667776,180.0
1650457765.7540436,24671296,208.0
1650457765.779378,24671488,82.0
1650457766.2707698,24673792,71.0
1650457766.3239186,24674112,267.0
1650457769.8144722,24676608,26.0
1650457770.1612732,24678016,48.0
1650457770.1890898,24678144,92.0
1650457771.597901,24683840,76.0
1650457771.6467664,24684096,54.0
1650457771.727021,24684416,67.0
1650457771.9064097,24685184,15.0
1650457772.1367686,24686144,45.0
1650457772.2944891,24686848,27.0
1650457772.3709698,24687232,32.0
1650457772.605157,24688128,61.0
1650457772.7531757,24688960,47.0
1650457772.8038921,24689152,74.0
1650457773.1136649,24690304,92.0
1650457773.1934166,24690624,37.0
1650457776.2181537,24690816,144.0
1650457776.3027942,24691200,48.0
1650457776.3170767,24691264,66.0
1650457776.3315418,24691328,65.0
1650457776.366952,24691456,21.0
1650457776.3813238,24691520,35.0
1650457776.3955667,24691584,41.0
1650457776.4433403,24691840,37.0
1650457776.5041854,24692160,24.0
1650457776.5374541,24692352,28.0
1650457776.564475,24692480,47.0
1650457776.5785053,24692544,52.0
1650457776.7083566,24693056,55.0
1650457776.7227547,24693120,106.0
1650457776.7653224,24693312,37.0
1650457776.8207185,24693568,33.0
1650457776.9344466,24694016,136.0
1650457777.0313041,24694656,72.0
1650457777.1908257,24695424,38.0
1650457777.2128868,24695488,26.0
1650457777.2934346,24695936,30.0
1650457777.6290472,24697344,92.0
1650457778.0197024,24699328,20.0
1650457778.2016232,24700160,25.0
1650457778.6291652,24702208,39.0
1650457778.870401,24703040,25.0
1650457779.4808197,24705536,311.0
1650457779.6552994,24706368,18.0
1650457779.6896186,24706560,62.0
1650457779.762303,24706816,60.0
1650457779.783095,24706944,44.0
1650457779.7973707,24707008,99.0
1650457779.8117938,24707072,162.0
1650457782.8166614,24707200,49.0
1650457782.8786983,24707520,53.0
1650457783.0137203,24708032,113.0
1650457783.08012,24708416,27.0
1650457783.2961705,24709568,57.0
1650457783.3389068,24709760,12.0
1650457783.6585236,24711168,34.0
1650457784.0785618,24713024,118.0
1650457784.1591027,24713408,138.0
1650457784.18807,24713536,31.0
1650457784.3488085,24714048,24.0
1650457784.3837185,24714240,13.0
1650457784.3984814,24714304,20.0
1650457784.4369442,24714368,71.0
1650457784.5411973,24714880,42.0
1650457784.588995,24715136,48.0
1650457785.9084184,24720512,11.0
1650457786.2284372,24721856,25.0
1650457786.2764704,24722112,161.0
1650457786.4363894,24722880,47.0
1650457789.5052803,24723584,33.0
1650457789.5995727,24723968,63.0
1650457789.6773503,24724480,116.0
1650457790.0110514,24725888,78.0
1650457790.033357,24725952,16.0
1650457790.3284514,24726976,146.0
1650457790.4291513,24727552,35.0
1650457790.4709175,24727744,66.0
1650457790.5974958,24728256,41.0
1650457790.6114335,24728320,27.0
1650457790.8673563,24729472,39.0
1650457790.969817,24729984,50.0
1650457791.00845,24730240,29.0
1650457791.0305147,24730304,60.0
1650457791.0523932,24730368,32.0
1650457791.116875,24730560,43.0
1650457791.4176433,24732032,23.0
1650457791.4734695,24732288,25.0
1650457791.868137,24733760,82.0
1650457791.8826888,24733824,234.0
1650457792.0485454,24734720,44.0
1650457792.0851622,24734848,30.0
1650457792.1762621,24735296,76.0
1650457792.2199206,24735488,336.0
1650457792.277265,24735744,54.0
1650457792.3830779,24736256,81.0
1650457792.5510862,24737088,42.0
1650457792.5824707,24737344,73.0
1650457792.6045952,24737408,40.0
1650457792.6250846,24737536,33.0
1650457792.8691525,24738752,46.0
1650457792.977482,24739200,120.0
1650457796.15258,24740160,25.0
1650457796.1811023,24740288,17.0
1650457796.7883174,24742464,224.0
1650457796.833044,24742784,38.0
1650457796.892005,24742976,72.0
1650457796.9063756,24743040,88.0
1650457797.287278,24744448,16.0
1650457797.3417847,24744768,66.0
1650457797.6420782,24746176,94.0
1650457797.6789858,24746304,104.0
1650457797.708087,24746432,50.0
1650457797.841475,24746880,61.0
1650457797.8893733,24747136,44.0
1650457797.9035995,24747200,51.0
1650457798.0665712,24747968,28.0
1650457798.1316154,24748224,24.0
1650457798.1463828,24748288,83.0
1650457798.1746786,24748416,44.0
1650457798.1891565,24748480,34.0
1650457798.247751,24748672,163.0
1650457803.2467792,24757184,95.0
1650457803.3493392,24757696,10.0
1650457803.3712046,24757760,48.0
1650457803.5401652,24758464,56.0
1650457803.6801484,24759040,76.0
1650457804.1578119,24760960,136.0
1650457804.233143,24761472,120.0
1650457804.2910523,24761664,35.0
1650457804.521103,24762944,51.0
1650457804.8094902,24763968,132.0
1650457805.4260335,24766272,89.0
1650457805.56613,24766912,44.0
1650457805.5804098,24766976,30.0
1650457805.6369743,24767232,17.0
1650457805.656557,24767360,58.0
1650457805.6706119,24767424,15.0
1650457805.6848047,24767488,16.0
1650457805.8194256,24768000,30.0
1650457805.86254,24768192,71.0
1650457806.221109,24769600,25.0
1650457806.4237905,24770560,52.0
1650457806.4524004,24770688,227.0
1650457806.4957476,24770880,75.0
1650457806.5101576,24770944,60.0
1650457806.7309422,24771904,23.0
1650457806.7797391,24772160,26.0
1650457806.7940567,24772224,106.0
1650457810.1139889,24773184,62.0
1650457810.1339545,24773312,132.0
1650457810.1483748,24773376,72.0
1650457810.1630998,24773440,64.0
1650457810.1775393,24773504,31.0
1650457810.6750145,24775360,44.0
1650457810.7128406,24775488,48.0
1650457810.7394574,24775680,61.0
1650457810.8942192,24776256,12.0
1650457810.93694,24776448,17.0
1650457810.952397,24776512,21.0
1650457811.2887025,24777792,49.0
1650457811.7106807,24779776,55.0
1650457811.7248259,24779840,35.0
1650457811.7595227,24780160,40.0
1650457811.8146586,24780416,48.0
1650457812.261971,24782400,24.0
1650457812.2762504,24782464,69.0
1650457812.41428,24782976,25.0
1650457812.4287436,24783040,76.0
1650457812.5030367,24783296,9.0
1650457812.5788295,24783744,62.0
1650457812.6282387,24784000,30.0
1650457812.7457614,24784576,22.0
1650457812.774142,24784704,88.0
1650457813.019454,24785664,62.0
1650457813.0949032,24786048,16.0
1650457813.2269936,24786688,26.0
1650457813.45654,24787520,93.0
1650457813.8433902,24788992,7.0
1650457816.9611185,24789184,19.0
1650457817.0813973,24789632,37.0
1650457817.103079,24789696,40.0
1650457817.1312659,24789824,26.0
1650457817.2515745,24790272,38.0
1650457817.424354,24791040,125.0
1650457817.6169233,24791808,96.0
1650457817.6611164,24792128,44.0
1650457817.6749907,24792192,30.0
1650457817.8993928,24793408,26.0
1650457817.9135377,24793472,38.0
1650457817.989572,24793856,76.0
1650457818.0144355,24794048,22.0
1650457818.0364513,24794112,46.0
1650457818.19143,24794752,46.0
1650457818.336603,24795456,10.0
1650457818.7414129,24796928,30.0
1650457818.7836976,24797120,69.0
1650457818.805759,24797184,59.0
1650457818.8660607,24797312,21.0
1650457818.8916156,24797504,20.0
1650457818.9135866,24797568,51.0
1650457818.9705844,24797952,39.0
1650457820.0445755,24802240,51.0
1650457820.1779776,24802688,21.0
1650457820.2484553,24802944,39.0
1650457820.2626674,24803008,89.0
1650457820.3325195,24803328,33.0
1650457823.9432514,24806016,63.0
1650457824.5703464,24808384,34.0
1650457824.5847065,24808448,19.0
1650457824.6134393,24808576,43.0
1650457824.6279109,24808640,43.0
1650457825.7610145,24813504,19.0
1650457825.7803092,24813632,43.0
1650457825.79952,24813760,20.0
1650457825.8714747,24814144,26.0
1650457825.964267,24814464,41.0
1650457826.0007284,24814592,67.0
1650457826.066802,24814784,37.0
1650457826.0950334,24814912,119.0
1650457826.116757,24814976,80.0
1650457826.1491852,24815168,500.0
1650457826.1788218,24815424,106.0
1650457826.2066507,24815552,49.0
1650457826.2312183,24815744,82.0
1650457826.2667317,24815872,122.0
1650457826.299518,24816000,67.0
1650457826.4137433,24816320,89.0
1650457826.7891195,24817728,155.0
1650457827.042717,24818816,30.0
1650457827.0718093,24818944,34.0
1650457827.1438024,24819200,39.0
1650457827.1583416,24819264,18.0
1650457827.172504,24819328,48.0
1650457827.2282255,24819584,19.0
1650457827.270207,24819776,27.0
1650457827.4591835,24820480,65.0
1650457827.4847724,24820672,94.0
1650457827.5185688,24820864,33.0
1650457827.568984,24821056,34.0
